Spacecraft,Landing Type,Landing/Impact Date,"Latitude, Longitude","Latitude, Longitude (N, E Positive)",Notes,L O,A P,L R O,,"Notes: Columns at the end of each row (LO - Lunar Orbiters 1 through 5 ; Ap - Apollo 15, 16, 17 metric and pan cameras ; and LRO - Lunar Reconnaissance Orbiter) show when those missions were operating (darker shades) or the period before operations (lighter shades), so any object or impact could be in one of the images. White indicates the landing/impact occurred after the end of the given orbital mission and cannot be in those images.",
Luna 2,Impact,   13 September 1959   ,"   30 N, 0 E   ","   30., 0.   ",a,,,,,"a - Impact site unknown, typically given as within the range of 29 - 31 N, 1 W to 1 E.",
Luna 2 booster 3rd stage,Impact,   13 September 1959   ,   Unknown   ,   Unknown   ,b,,,,,"b - 3rd stage booster of Luna 2 impacted approximately 30 minutes after Luna 2 (NSSDCA). c - Siddiqi, A., 2002, 2018; Ulivi and Harland, 2004.",
Ranger 4,Impact,   26 April 1962   ,"   15.5 S, 130.7 W   ","   -15.5, 229.3   ",c,,,,,"c1 - Siddiqi, A., 2002, 2018; Ulivi and Harland, 2004. Luna 15 crash sites also given as 12 N, 59 E or 17 N, 49 E.",
Ranger 6,Impact,   2 February 1964   ,"   9.3864 N, 21.4806 E   ","   9.3864, 21.4806   ",d,,,,,"d - Object or impact imaged on surface by Lunar Reconnaissance Orbiter Camera (LROC), see LROC, 2016 and LROC, 2024.",
Ranger 7,Impact,   31 July 1964   ,"   10.6340 S, 20.6770 W   ","   -10.6340, 339.3230   ",d,,,,,"e - Ksanfomality, 2018. Other results for Luna 5 have been reported, various impact sites listed: 8.17 N, 23.43 W (Minikin and Ulubekhov, 1972); 30 S, 8 W (Harvey, 2007); Siddiqi, 2002); 31 S, 8 W (Ulivi and Harland, 2004; Siddiqi, 2018); or 1.6 S, 25 W (Huntress and Marov. 2011).",
Ranger 8,Impact,   20 February 1965   ,"   2.6376 N, 24.7881 E   ","   2.6376, 24.7881   ",d,,,,,"f - Wagner et al., 2017: Luna 9 coordinates come from initial Pravda report, LROC images show no sign of lander at these coordinates, and area topography from LROC images does not match Luna 9 images, lander site is probably at least 10 km away, direction unknown.",
Ranger 9,Impact,   24 March 1965   ,"   12.8281 S, 2.3884 W   ","   -12.8281, 357.6116   ",d,,,,,"g - Object left in lunar orbit with no tracking or communication, orbit presumably decayed, estimated year of decay in parentheses if available.",
Luna 5,Impact,   12 May 1965   ,"   1.35 S, 25.48 W   ","   -1.35, 334.52   ",e,,,,,"h - Boeing Co., 1968. For Lunar Orbiter 1, impact site also listed as 6.7 N, 162 E in other references (c)",
Luna 7,Impact,   7 October 1965   ,"   9 N, 49 W   ","   9., 311.   ",c,,,,,"i - Cloud et al., 1967; Surveyor Project Staff, 1968. Possibly fragmented, contact lost 2.5 minutes before landing. Soft landing estimate 0.43 N, 1.62 W; ballistic trajectory (impact) estimate 0.47 N, 1.44 W [also estimated at 0.37 N, 1.55 W (soft); 0.469 N, 1.086 W (impact), O'Neil et al., 1968].",
Luna 8,Impact,   6 December 1965   ,"   9.1 N, 63.3 W   ","   9.1, 296.7   ",c,,,,,"j - Boeing Co., 1968. For Lunar Orbiter 2, impact site is also listed in places as 4 N, 98 E. For Lunar Orbiter 3, some references give 14.6 N, 91.7 W or 14.3 N, 97.7 W",
Luna 9,Soft Landing,   3 February 1966   ,"   7.13 N, 64.37 W   ","   7.13, 295.63   ",f,,,,,"k - Contact lost 17 July 1967, impact dates listed as 6 October, 31 October, or “no later than 31 October, 1967”, impact possibly between 22 and 30 degrees W longitude.",
Surveyor 1,Soft Landing,   2 June 1966   ,"   2.4745 S, 43.3398 W   ","   -2.4745, 316.6602   ",d,,,,,"l - Boeing Co., 1968",
